year,rank,company,revenue,profit
1955.0,80.0,Pure Oil,388.3,31.2
1955.0,81.0,BorgWarner,380.3,24.5
1955.0,82.0,Nabisco Brands,376.4,19.9
1955.0,83.0,Avco,375.4,3.6
1955.0,84.0,Unocal,349.7,35.9
1955.0,85.0,Philco,349.3,6.8
1955.0,86.0,Burlington Industries Equity,347.5,8.4
1955.0,87.0,Monsanto,341.8,23.7
1955.0,88.0,Campbell Soup,338.7,23.6
1955.0,89.0,Owens-Illinois,336.7,21.5
1955.0,90.0,Pillsbury,336.0,4.9
1955.0,91.0,Singer,333.9,11.9
1955.0,93.0,Hygrade Food Products,324.2,1.0
1955.0,94.0,Republic Aviation,323.5,9.0
1955.0,96.0,Amstar,308.8,7.6
1955.0,98.0,Morrell (John),306.5,0.5
1955.0,99.0,BP America,304.4,18.5
1955.0,100.0,American Standard,303.4,20.4
1955.0,101.0,United Merchants & Mfrs.,300.1,9.2
1955.0,102.0,Crane,299.8,5.8
1955.0,103.0,Crown Zellerbach,298.0,26.8
1955.0,104.0,Deere,295.6,20.6
1955.0,105.0,Liggett Group,294.1,22.2
1955.0,110.0,Rath Packing,273.6,1.4
1955.0,111.0,Martin Marietta,270.7,20.1
1955.0,112.0,TRW,269.0,11.7
1955.0,113.0,Quaker Oats,266.1,8.9
1955.0,114.0,Weyerhaeuser,262.5,35.5
1955.0,115.0,Colgate-Palmolive,261.8,12.5
1955.0,116.0,NCR,259.1,12.7
1955.0,117.0,Manville,253.2,16.7
1955.0,118.0,Babcock & Wilcox,250.5,15.2
1955.0,119.0,CF&I Steel,250.2,7.1
1955.0,120.0,A.O. Smith,249.6,5.4
1955.0,121.0,Marathon Oil,248.5,38.2
1955.0,122.0,Foremost Dairies,247.4,6.1
1955.0,123.0,Furniture Brands Intl.,246.8,10.2
1955.0,124.0,ACF Industries,245.1,7.8
1955.0,125.0,Otis Elevator,244.0,6.3
1955.0,126.0,Coca-Cola,243.3,25.9
1955.0,127.0,Rockwell-Standard,241.8,12.1
1955.0,128.0,J.E. Seagram,236.3,25.7
1955.0,129.0,Grumman,235.3,11.2
1955.0,130.0,National Supply,231.7,9.3
1955.0,131.0,3M,230.9,24.6
1955.0,132.0,Honeywell,229.4,15.3
1955.0,133.0,Scott Paper,228.8,18.8
1955.0,134.0,Ashland,227.9,6.6
1955.0,135.0,Del Monte Foods,226.9,6.7
1955.0,136.0,Kaisertech,226.6,14.0
1955.0,137.0,Remington Rand,225.5,12.2
1955.0,138.0,FMC,225.3,12.1
1955.0,139.0,Oscar Mayer,224.4,2.8
1955.0,140.0,Richfield? Oil,222.8,25.6
1955.0,141.0,Studebaker,222.3,-26.2
1955.0,142.0,H.J. Heinz,220.6,5.6
1955.0,143.0,Admiral,219.6,6.5
1955.0,144.0,Armstrong Holdings,217.6,11.9
1955.0,145.0,American Viscose,217.2,10.5
1955.0,146.0,USG,217.0,32.4
1955.0,147.0,GenCorp,217.0,4.5
1955.0,148.0,Anheuser-Busch,215.9,12.8
1955.0,149.0,"Libby, McNeill & Libby",215.4,4.2
1955.0,150.0,Continental Baking,212.5,5.7
1955.0,151.0,Kaiser Industries,212.4,-35.5
1955.0,153.0,Skelly Oil,211.1,29.5
1955.0,154.0,Glidden,209.1,7.1
1955.0,155.0,Archer Daniels Midland,207.7,5.0
1955.0,156.0,Motorola,205.2,7.6
1955.0,157.0,Wyeth,203.1,16.2
1955.0,158.0,International Packers,202.5,0.4
1955.0,159.0,Johnson & Johnson,200.9,9.5
1955.0,160.0,Quantum Chemical,200.1,13.7
1955.0,162.0,Electric Autolite,198.5,0.7
1955.0,163.0,Arden Farms,195.1,1.9
1955.0,164.0,Bestfoods,194.7,15.8
1955.0,165.0,Revere Copper & Brass,193.3,10.3
1955.0,166.0,Hearst Consolidated Publications,190.9,-0.3
1955.0,167.0,Wheeling Pittsburgh,187.6,9.6
1955.0,168.0,Koppers,187.6,6.1
1955.0,169.0,Hercules,187.5,14.1
1955.0,170.0,Alco Products,187.2,4.6
1955.0,171.0,Container Corp. of America,186.6,13.6
1955.0,172.0,M. Lowenstein,186.0,6.8
1955.0,173.0,Bell Intercontinental,185.6,6.4
1955.0,174.0,Continental? Motors,182.1,4.5
1955.0,175.0,Cannon Mills,180.2,9.1
1955.0,176.0,Pet,178.2,8.1
1955.0,177.0,Kimberly-Clark,177.3,11.1
1955.0,178.0,Raytheon,177.1,3.5
1955.0,179.0,Dart Industries,176.1,3.3
1955.0,180.0,Wesson Oil & Snowdrift,175.5,6.7
1955.0,181.0,Curtis Publishing,173.4,4.5
1955.0,182.0,Schenley Industries,172.0,3.8
1955.0,183.0,Northrop Grumman,171.4,3.8
1955.0,184.0,Allegheny International,169.6,4.2
1955.0,185.0,Whirlpool,169.5,9.2
1955.0,186.0,Kellogg,169.5,12.7
1955.0,187.0,Unisys,169.1,7.8
1955.0,188.0,Walter Industries,167.2,2.6
1955.0,192.0,Mid-Continent Petroleum,164.2,13.5
1955.0,193.0,Rheem Manufacturing,163.6,6.0
1955.0,194.0,Gillette,162.2,26.1
1955.0,195.0,Crucible Steel,160.6,3.7
1955.0,196.0,Brink's,159.7,2.0
1955.0,197.0,Hershey Foods,159.4,7.1
1955.0,198.0,General American Transportation,156.2,11.4
1955.0,199.0,Baldwin-Lima-Hamilton,155.2,4.1
1955.0,200.0,Dana,153.5,12.3
1955.0,201.0,Central Soya,153.1,3.9
1955.0,202.0,Carrier,151.4,6.9
1955.0,203.0,Grinnell,150.9,8.0
1955.0,205.0,Genesco,150.1,4.8
1955.0,206.0,Chance Vought,149.6,6.6
1955.0,207.0,Newport News Shipbuilding,149.5,7.2
1955.0,208.0,Consolidation Coal,149.2,12.1
1955.0,209.0,Corning,147.9,17.5
1955.0,210.0,Celanese,147.6,6.6
1955.0,211.0,Fruehauf,146.3,4.5
1955.0,212.0,Merck,145.5,12.6
1955.0,213.0,White Motor,145.5,4.9
1955.0,214.0,International Cellucotton Products,145.4,7.4
1955.0,215.0,Pfizer,145.2,15.2
1955.0,216.0,Pabst Brewing,145.0,2.1
1955.0,217.0,Staley Continental,144.9,5.3
1955.0,218.0,Altria Group,142.8,11.4
1955.0,219.0,National Sugar Refining,140.7,2.3
1955.0,220.0,Cone Mills,140.7,2.6
1955.0,221.0,Fairchild Engine & Airplane,140.4,4.1
1955.0,222.0,Simmons,139.1,5.4
1955.0,223.0,Brown Shoe,138.9,4.8
1955.0,224.0,Zenith Electronics,138.6,5.7
1955.0,225.0,Foster Wheeler,138.6,3.6
1955.0,226.0,Studebaker-Worthington,138.3,6.9
1955.0,227.0,Owens Corning,136.5,8.4
1955.0,228.0,Timken,135.6,10.7
1955.0,230.0,American Bakeries,134.8,4.4
1955.0,231.0,Campbell Taggart,133.9,4.3
1955.0,232.0,Endicott Johnson,133.3,2.1
1955.0,233.0,McGraw-Edison,132.8,9.4
1955.0,234.0,Rohm & Haas,132.6,12.4
1955.0,235.0,Lorillard,131.5,6.3
1955.0,236.0,Ingersoll-Rand,130.3,23.0
1955.0,237.0,Dresser Industries,130.2,7.4
1955.0,238.0,Kaiser Steel,128.5,7.9
1955.0,239.0,Cletrac,128.3,3.7
1955.0,240.0,Champion Papers,128.0,9.5
1955.0,241.0,National Gypsum,126.6,13.1
1955.0,242.0,AMF,126.5,4.0
1955.0,243.0,Clinton Foods,125.7,3.9
1955.0,244.0,Sunray Oil,125.2,23.2
1955.0,245.0,Eastern Gas & Fuel Associates,124.6,2.8
1955.0,246.0,Champion International,124.1,4.7
1955.0,247.0,Pittsburgh Steel,124.0,2.2
1955.0,248.0,Tecumseh! Products,124.0,5.7
1955.0,250.0,General Precision Equipment,123.3,5.5
1955.0,251.0,BOC,123.3,6.3
1955.0,252.0,McDonnell Douglas,123.1,3.6
1955.0,253.0,Eli Lilly,122.3,11.3
1955.0,254.0,General Host,122.1,2.2
1955.0,255.0,Stokely-Van Camp,121.7,3.0
1955.0,256.0,Westinghouse Air Brake,121.5,7.8
1955.0,257.0,American-Marietta,120.7,5.5
1955.0,258.0,Mack Trucks,120.3,1.3
1955.0,259.0,Sunshine Biscuits,119.2,6.0
1955.0,260.0,Marathon,117.8,7.5
1955.0,261.0,Keebler,117.2,1.9
1955.0,263.0,Bemis,115.8,1.3
1955.0,264.0,Seeger Refrigerator,112.6,6.0
1955.0,265.0,Murray Corp.,112.5,5.8
1955.0,266.0,Warren Petroleum,112.4,8.9
1955.0,267.0,Mead,111.8,5.8
1955.0,268.0,Crown Holdings,111.4,1.4
1955.0,269.0,Link-Belt,111.2,5.4
1955.0,270.0,Scovill,111.0,4.4
1955.0,271.0,Cincinnati Milacron,110.5,9.3
1955.0,272.0,"Parke, Davis",109.9,10.5
1955.0,273.0,Abex,109.9,4.3
1955.0,274.0,Budd,109.5,9.6
1955.0,275.0,Anaconda Wire & Cable,108.7,4.7
1955.0,277.0,CVS*,107.9,6.0
1955.0,278.0,Allied Mills,106.7,3.2
1955.0,279.0,121e,106.0,5.1
1955.0,280.0,Spencer Kellogg & Sons,105.7,2.6
1955.0,281.0,Union Camp,105.5,10.8
1955.0,282.0,GAF,105.0,2.5
1955.0,283.0,Fairmont Foods,104.6,0.8
1955.0,284.0,WestPoint Stevens,104.5,4.1
1955.0,285.0,Colorado Milling & Elevator,104.1,1.1
1955.0,286.0,Anchor Hocking,103.7,5.5
1955.0,287.0,Rohr,101.6,3.5
1955.0,288.0,Garrett,101.2,2.8
1955.0,289.0,Blaw-Knox,101.1,4.1
1955.0,292.0,Textron,99.7,1.3
1955.0,293.0,Lion Oil,98.6,11.1
1955.0,294.0,Sharon Steel,98.2,3.1
1955.0,296.0,GK Technologies,97.4,5.2
1955.0,298.0,Ward Foods,95.2,1.5
1955.0,299.0,St. Joseph& Lead,95.0,7.5
1955.0,300.0,Flintkote,94.8,5.1
1955.0,301.0,Interstate Brands,94.2,3.2
1955.0,302.0,Imcera Group,93.6,6.0
1955.0,303.0,Maxus Energy,93.5,5.5
1955.0,304.0,Chemetron,93.4,5.2
1955.0,306.0,Kendall,93.2,4.2
1955.0,307.0,Squibb,93.0,3.4
1955.0,308.0,Stewart-Warner,92.9,2.8
1955.0,309.0,Case,92.4,-0.5
1955.0,312.0,U.S. Pipe & Foundry,91.5,9.0
1955.0,314.0,Clark Equipment,91.1,5.7
1955.0,315.0,Plymouth Oil,90.9,6.8
1955.0,316.0,Collins Radio,90.3,3.4
1955.0,317.0,Sunbeam/Oster,90.1,6.9
1955.0,318.0,Inmont,89.8,3.3
1955.0,319.0,Amsted Industries,89.0,3.6
1955.0,320.0,Abbott Laboratories,88.1,8.7
1955.0,322.0,Servel,87.8,-8.2
1955.0,323.0,Long-Bell Lumber Co.,87.7,3.7
1955.0,324.0,Motor Products,87.0,-1.1
1955.0,325.0,ITT Rayonier,86.9,11.9
1955.0,326.0,Best Foods,86.9,5.6
1955.0,328.0,Virginia-Carolina Chemical,85.4,3.6
1955.0,329.0,Beaunit,85.3,4.5
1955.0,330.0,Pepperell Manufacturing,85.3,2.4
1955.0,331.0,Amerada Hess,85.0,19.8
1955.0,332.0,Texasgulf,84.6,30.5
1955.0,333.0,Lone Star Industries,84.4,12.6
1955.0,334.0,Royal McBee,84.4,2.8
1955.0,336.0,Wm. Wrigley Jr.,82.6,11.4
1955.0,337.0,Stauffer Chemical,82.6,5.7
1955.0,338.0,Wagner Electric,82.2,1.9
1955.0,339.0,Marshall-Wells,81.9,1.5
1955.0,340.0,Dan River,81.8,2.8
1955.0,341.0,Keystone Consolidated Industries,81.1,5.7
1955.0,342.0,Maytag,81.1,6.7
1955.0,343.0,City Products,80.8,3.5
1955.0,344.0,Thomas J. Lipton,80.8,3.1
1955.0,345.0,Emerson Radio & Phonograph,80.6,1.9
1955.0,346.0,Cluett Peabody,80.4,3.0
1955.0,347.0,Hazel-Atlas Glass,79.2,3.6
1955.0,348.0,Gerber Products,78.9,3.5
1955.0,349.0,Great Western Sugar,78.5,4.4
1955.0,350.0,Tobin Packing,78.5,1.0
1955.0,351.0,Beech Aircraft,78.0,3.4
1955.0,352.0,ESB,77.7,7.8
1955.0,355.0,Ruberoid,76.4,4.6
1955.0,356.0,Paccar,76.4,2.4
1955.0,357.0,Butler Manufacturing,76.2,3.3
1955.0,358.0,Superior Oil,76.1,10.4
1955.0,359.0,Olivetti Underwood,76.0,1.2
1955.0,360.0,Certainteed,75.8,5.3
1955.0,361.0,National Container,75.6,3.5
1955.0,362.0,Lukens Steel,75.0,2.0
1955.0,363.0,American Bosch Arma,74.4,2.6
1955.0,364.0,PepsiCo,74.2,6.2
1955.0,365.0,Stanley Works,73.8,3.9
1955.0,366.0,New York Shipbuilding,73.8,2.4
1955.0,367.0,Glen Alden,73.5,0.2
1955.0,368.0,Outboard Marine,73.4,5.5
1955.0,369.0,Hines (Edward) Lumber,73.3,3.7
1955.0,370.0,Shoe Corp. of America,73.2,2.3
1955.0,371.0,Standard Coil Products,72.9,2.9
1955.0,372.0,Norris-Thermador,72.6,2.9
1955.0,373.0,American Chain & Cable,72.2,3.5
1955.0,374.0,Carborundum,71.9,3.3
1955.0,375.0,Interlake,71.8,3.7
1955.0,376.0,Riegel Textile,71.0,1.3
1955.0,377.0,Todd Shipyards,70.4,0.3
1955.0,378.0,Cleveland-Cliffs,70.4,7.1
1955.0,379.0,Minnesota & Ontario Paper,70.1,6.1
1955.0,381.0,Pocahontas Fuel,69.5,1.7
1955.0,382.0,Granite City Steel,69.3,4.0
1955.0,383.0,Remington Arms,69.0,7.5
1955.0,384.0,Bigelow-Sanford,68.2,0.1
1955.0,385.0,H.K. Porter,68.1,3.2
1955.0,386.0,Bliss (E.W.),68.0,3.3
1955.0,387.0,Falstaff Brewing,67.8,3.0
1955.0,388.0,I-T-E Imperial,67.7,1.6
1955.0,389.0,Canada Dry,67.4,2.4
1955.0,390.0,American Optical,67.3,2.2
1955.0,391.0,American Agricultural Chemical,67.2,4.6
1955.0,392.0,Brown Co.,67.0,3.4
1955.0,393.0,Raybestos-Manhattan,66.8,2.8
1955.0,394.0,Norton Simon,66.7,1.6
1955.0,395.0,Hartmarx,66.6,1.2
1955.0,396.0,Savannah Sugar Refining,66.6,1.6
1955.0,398.0,Industrial Rayon,65.9,7.4
1955.0,399.0,Handy & Harman,65.8,0.6
1955.0,400.0,AM International,65.4,4.9
1955.0,401.0,Richardson-Vicks,65.4,5.9
1955.0,402.0,US Pharmaceuticals,65.4,9.3
1955.0,403.0,Interlake Iron,65.2,3.1
1955.0,404.0,Solar Aircraft,65.1,2.0
1955.0,405.0,Tennessee Corp.,64.9,6.5
1955.0,406.0,Crowell-Collier Publishing,64.8,-2.4
1955.0,407.0,"American Zinc, Lead & Smelting",64.5,1.8
1955.0,408.0,Georgia-Pacific,64.3,1.8
1955.0,409.0,International Silver,64.1,3.2
1955.0,410.0,Niles-Bement-Pond,63.6,4.3
1955.0,411.0,Stromberg-Carlson,63.5,2.0
1955.0,446.0,Times Mirror,56.7,1.9
1955.0,447.0,National Automotive Fibers,56.7,-0.5
1955.0,448.0,Stanley Home Products,56.6,3.1
1955.0,449.0,Continental Foundry & Machine,56.6,3.5
1955.0,450.0,Dayco,55.9,1.2
1955.0,451.0,Square D,55.9,4.7
1955.0,452.0,Publicker Industries,55.5,2.3
1955.0,453.0,Armstrong Rubber,55.4,1.7
1955.0,454.0,Godchaux Sugars,55.3,0.5
1955.0,455.0,Avon Products,55.1,4.9
1955.0,456.0,Carey (Philip) Manufacturing,54.8,2.5
1955.0,457.0,Anderson-Prichard Oil,54.7,3.3
1955.0,458.0,Midland-Ross,54.6,2.7
1955.0,459.0,P.R. Mallory,54.6,1.1
1955.0,460.0,Consolidated Papers,54.4,4.5
1955.0,461.0,Oxford Paper,54.2,3.4
1955.0,462.0,Lear,54.2,2.2
1955.0,463.0,Cutler-Hammer,54.2,4.1
1955.0,464.0,Sutherland Paper,54.0,3.9
1955.0,466.0,USM,53.9,8.0
1955.0,467.0,Bates Manufacturing,53.9,1.8
1955.0,468.0,Motor Wheel,53.9,1.7
1955.0,470.0,Congoleum,53.8,1.7
1955.0,471.0,Harshaw Chemical,53.6,1.6
1955.0,472.0,Young (L.A.) Spring & Wire,53.5,1.3
1955.0,473.0,Barium Steel,53.5,-0.4
1955.0,474.0,Arvin Industries,53.4,2.2
1955.0,475.0,Climax Molybdenum,53.2,15.6
1955.0,476.0,Erwin Mills,53.1,-0.9
1955.0,477.0,S & W Fine Foods,53.1,0.5
1955.0,478.0,Columbian Carbon,52.9,4.6
1955.0,479.0,South Penn Oil,52.6,5.1
1955.0,480.0,National Homes,52.5,2.4
1955.0,481.0,Crown Central,52.4,1.4
1955.0,482.0,Udylite,51.9,0.8
1955.0,483.0,Bird & Son,51.7,1.6
1955.0,484.0,Detroit Steel,51.7,1.2
1955.0,485.0,Mullins Manufacturing,51.7,2.3
1955.0,486.0,Commercial Solvents,51.6,2.7
1955.0,487.0,Fuller Brush,51.5,2.3
1955.0,488.0,Liquid Carbonic,51.4,2.8
1955.0,489.0,Consolidated Cigar,51.0,1.8
1955.0,490.0,Langendorf United Bakeries,50.7,0.9
1955.0,491.0,Truax-Traer Coal,50.5,2.5
1955.0,492.0,Mansfield Tire & Rubber,50.4,0.9
1955.0,493.0,Blue Bell,50.3,1.7
1955.0,494.0,Warner-Lambert,50.3,4.3
1955.0,495.0,Trane,50.2,3.4
1955.0,496.0,Signal Oil Gas,50.2,9.3
1955.0,497.0,Bullard,50.2,4.8
1955.0,498.0,Cuban-American Sugar,50.1,0.7
1955.0,499.0,Goodall-Sanford,49.7,-2.7
1955.0,500.0,Copperweld Steel,49.7,0.9
1956.0,1.0,General Motors,12443.3,1189.5
1956.0,2.0,Exxon Mobil,6272.4,709.3
1956.0,3.0,Ford Motor,5594.0,437.0
1956.0,5.0,Chrysler,3466.2,100.1
1956.0,6.0,General Electric,3095.4,200.9
1956.0,8.0,Bethlehem Steel,2096.6,180.2
1956.0,9.0,Armour,1967.7,10.1
1956.0,10.0,DuPont,1909.2,431.6
1956.0,11.0,Gulf Oil,1895.7,218.1
1956.0,12.0,AT&T Technologies,1853.3,63.3
1956.0,13.0,Mobil,1839.3,207.4
1956.0,14.0,Amoco,1781.3,157.1
1956.0,15.0,Texaco,1767.3,262.7
1956.0,16.0,Shell Oil,1484.1,125.5
1956.0,17.0,CBS,1441.0,42.8
1956.0,18.0,Goodyear Tire & Rubber,1372.2,59.7
1956.0,19.0,ChevronTexaco,1277.8,231.1
1956.0,20.0,Kraft,1260.2,40.3
1956.0,21.0,Republic Steel,1188.6,86.3
1956.0,22.0,Union Carbide,1187.2,140.8
1956.0,23.0,Navistar International,1165.8,55.5
1956.0,24.0,Firestone Tire & Rubber,1114.9,55.4
1956.0,25.0,Sinclair Oil,1110.1,80.7
1956.0,26.0,RCA,1055.3,47.5
1956.0,27.0,Procter & Gamble,965.8,57.5
1956.0,28.0,Uniroyal,925.5,33.6
1956.0,29.0,Citgo Petroleum,923.2,49.3
1956.0,30.0,ConocoPhillips,910.8,95.2
1956.0,31.0,Douglas Aircraft,867.5,28.2
1956.0,32.0,Boeing,853.8,30.4
1956.0,33.0,Alcoa,845.0,87.6
1956.0,34.0,General Foods,824.8,31.7
1956.0,35.0,Rockwell Automation,816.7,32.3
1956.0,36.0,Borden Chemical,810.1,21.7
1956.0,37.0,International Paper,796.4,83.1
1956.0,38.0,Goodrich,755.0,46.7
1956.0,39.0,American Can,714.8,36.0
1956.0,40.0,Eastman Kodak,714.4,85.6
1956.0,41.0,United Technologies,697.9,31.1
1956.0,42.0,Jones & Laughlin Steel,696.5,50.1
1956.0,43.0,ARMCO,692.7,64.4
1956.0,44.0,Sperry,688.0,44.0
1956.0,45.0,General Dynamics,687.3,21.3
1956.0,46.0,Lockheed Martin,673.6,17.3
1956.0,47.0,Continental Group,666.3,24.2
1956.0,48.0,Sunoco,660.3,48.3
1956.0,49.0,AMAX,660.2,19.8
1956.0,50.0,Ryerson Tull,659.7,52.5
1956.0,51.0,Wilson,650.5,4.6
1956.0,52.0,Anaconda,636.2,65.3
1956.0,53.0,Honeywell Intl.,628.5,52.1
1956.0,54.0,National Intergroup,622.0,48.3
1956.0,55.0,Youngstown Sheet & Tube,617.4,41.7
1956.0,56.0,Fortune Brands,585.9,51.7
1956.0,57.0,PPG Industries,582.0,61.4
1956.0,58.0,Bendix,567.2,25.9
1956.0,59.0,Intl. Business Machines,563.5,55.9
1956.0,60.0,Olin,560.5,44.6
1956.0,61.0,BorgWarner,552.2,41.1
1956.0,62.0,Kennecott,548.3,125.5
1956.0,63.0,Republic Aviation,547.4,14.7
1956.0,64.0,Asarco,540.5,33.5
1956.0,65.0,Allis-Chalmers,535.1,24.8
1956.0,66.0,NL Industries,533.7,47.9
1956.0,67.0,Conoco,528.9,46.4
1956.0,68.0,Caterpillar,523.9,34.8
1956.0,69.0,Monsanto,522.3,42.2
1956.0,70.0,Burlington Industries Equity,515.2,16.4
1956.0,71.0,General Mills,513.7,12.4
1956.0,72.0,Atlantic Richfield,513.0,39.5
1956.0,73.0,Curtiss-Wright,508.7,35.1
1956.0,74.0,Pure Oil,485.1,35.2
1956.0,75.0,Studebaker,480.0,-29.7
1956.0,76.0,Tidewater Oil,478.8,37.8
1956.0,77.0,Dow Chemical,470.7,37.4
1956.0,78.0,Nabisco Group Holdings,466.3,53.3
1956.0,79.0,American Cyanamid,451.1,38.7
1956.0,80.0,ITT Industries,448.4,23.1
1956.0,81.0,American Motors,441.1,-7.0
1956.0,82.0,Sealed Air,427.1,18.8
1956.0,83.0,Crown Zellerbach,414.1,44.1
1956.0,84.0,Standard Brands,400.7,10.6
1956.0,85.0,Nabisco Brands,389.6,18.3
1956.0,86.0,Foremost Dairies,388.1,8.7
1956.0,87.0,Ralston Purina,385.5,12.6
1956.0,88.0,Reynolds Metals,384.9,34.3
1956.0,89.0,Campbell Soup,377.6,29.1
1956.0,90.0,Philco,373.4,8.4
1956.0,91.0,Owens-Illinois,370.3,27.0
1956.0,92.0,Merritt-Chapman & Scott,360.3,10.7
1956.0,93.0,Unocal,359.5,30.5
1956.0,94.0,Singer,354.1,18.1
1956.0,95.0,Phelps Dodge,353.4,72.3
1956.0,96.0,United Merchants & Mfrs.,341.8,15.5
1956.0,97.0,Pillsbury,341.1,5.3
1956.0,98.0,BP America,339.7,23.0
1956.0,99.0,American Standard,339.6,22.6
1956.0,100.0,Deere,339.6,28.3
1956.0,101.0,Hormel Foods,336.6,3.8
1956.0,102.0,Morrell (John),336.1,2.7
1956.0,103.0,Hygrade Food Products,334.3,2.3
1956.0,126.0,Aeroquip-Vickers,281.5,36.0
1956.0,127.0,Whirlpool,280.4,14.1
1956.0,128.0,Quaker Oats,276.4,10.1
1956.0,129.0,Rockwell-Standard,271.9,17.3
1956.0,130.0,Martin Marietta,271.9,13.3
1956.0,131.0,Kaisertech,268.1,28.6
1956.0,132.0,FMC,264.6,14.9
1956.0,133.0,Furniture Brands Intl.,262.4,10.4
1956.0,134.0,"Libby, McNeill & Libby",261.9,5.4
1956.0,135.0,National Supply,259.8,11.4
1956.0,136.0,American Viscose,259.4,24.7
1956.0,137.0,USG,258.7,40.4
1956.0,138.0,CF&I Steel,257.5,10.9
1956.0,139.0,Marathon Oil,257.2,41.3
1956.0,140.0,St. Regis,257.1,19.0
1956.0,141.0,Allegheny International,255.2,15.0
1956.0,142.0,Rath Packing,254.0,2.6
1956.0,143.0,Coca-Cola,252.9,27.5
1956.0,144.0,Armstrong Holdings,249.4,14.5
1956.0,145.0,Wheeling Pittsburgh,246.7,17.3
1956.0,146.0,Scott Paper,246.7,21.3
1956.0,147.0,Ashland,245.9,10.1
1956.0,148.0,Honeywell,244.5,19.3
1956.0,149.0,Richfield Oil,244.4,29.6
1956.0,150.0,Continental Baking,244.0,7.7
1956.0,151.0,Revere Copper & Brass,242.7,11.3
1956.0,152.0,Crucible Steel,237.7,13.2
1956.0,153.0,A.O. Smith,237.1,6.0
1956.0,154.0,Wyeth,234.5,20.5
1956.0,155.0,H.J. Heinz,234.2,8.8
1956.0,156.0,Del Monte Foods,233.8,8.9
